apache-activemq|activemq
ansible@11|ansible
ant@1.10|ant
apache-flink@2|apache-flink
arpack-ng|arpack
assimp@6|assimp
atkmm@2.36|atkmm
autoconf@2.72|autoconf
awsebcli|aws-elasticbeanstalk
awscli@2|awscli
az|azure-cli
bal|ballerina
bash-completion@1|bash-completion
basisu|basis_universal
bats|bats-core
bazel@8|bazel
boehmgc|bdw-gc
libgc|bdw-gc
berkeley-db@18|berkeley-db
db|berkeley-db
bison@3.8|bison
boost@1.89|boost
bjam|boost-build
boost-jam|boost-build
botan@3|botan
brz|breezy
actor-framework|caf
cairomm@1.18|cairomm
cassandra@5.0|cassandra
clang-format@21|clang-format
clasp|clingo
gringo|clingo
pocketsphinx|cmu-pocketsphinx
conan@2|conan
ck|concurrencykit
lightningd|core-lightning
cowthink|cowsay
cpanm|cpanminus
crypto++|cryptopp
ctags-exuberant|ctags
dejagnu|deja-gnu
dlv|delve
style|diction
boot2docker-cli|docker-machine
unix2dos|dos2unix
dotnet@9|dotnet
dupeseek|dupseek
libdwarf|dwarfutils
elan|elan-init
erlang@28|erlang
liblabjackusb|exodriver
faas|faas-cli
fastcgi|fcgi
ffmpeg@8|ffmpeg
file|file-formula
fishfish|fish
fltk@1.4|fltk
fluidsynth|fluid-synth
apache-fop|fop
4store|fourstore
alut|freealut
freetype2|freetype
libgme|game-music-emu
gcc@15|gcc
gfortran|gcc
libgd|gd
gdrive@3|gdrive
gearmand|gearman
libgeoip|geoip
ghc@9|ghc
ghc@9.12|ghc
gs|ghostscript
delta|git-delta
glbinding@3|glbinding
glibc@2.35|glibc
glibmm@2.84|glibmm
gsed|gnu-sed
gtypist|gnu-typist
gnupg@2.4|gnupg
gpg|gnupg
gpg2|gnupg
gpg1|gnupg@1.4
go@1.25|go
golang|go
google-go|go
go-feature-flag|go-feature-flag-relay-proxy
jocr|gocr
mp4box|gpac
gradle@9|gradle
grpc@1.74|grpc
gnu-scientific-library|gsl
gtk|gtk+
guile@3|guile
haproxy@3.2|haproxy
stack|haskell-stack
hdf5@1.14|hdf5
apache-httpd|httpd
apache2|httpd
icu4c|icu4c@77
imagemagick@7|imagemagick
iwyu|include-what-you-use
influxdb@3|influxdb
kubo|ipfs
isl@0.27|isl
hudson|jenkins
jujutsu|jj
libjpeg|jpeg
libjpg|jpeg
libjpeg-turbo|jpeg-turbo
kk|kubekey
kubectl|kubernetes-cli
kubernetes-cli@1.34|kubernetes-cli
libassuan@3|libassuan
bx|libbitcoin-explorer
bn|libbitcoin-node
bs|libbitcoin-server
libcouchbase@3|libcouchbase
libfuse@3|libfuse
libgit2@1.9|libgit2
libpeas@2|libpeas
libpq@17|libpq
rtl-sdr|librtlsdr
libsigc++@3|libsigc++
libsoup@3|libsoup
libspelling@0.4|libspelling
libtasn|libtasn1
usb-multiplex-daemon|libusbmuxd
vid.stab|libvidstab
libxml++@2|libxml++
xmlsec1|libxmlsec1
linux-headers|linux-headers@5.15
lcms2|little-cms2
lld@21|lld
